element,MT,n_points,E_min_MeV,E_max_MeV,xs_min_barn,xs_max_barn,xs_mean_barn,xs_median_barn,log10_xs_mean,log10_xs_median,auc_log10xs_over_log10E,slope_low,slope_mid,slope_high,xs_at_1em05_MeV,xs_at_0p001_MeV,xs_at_0p1_MeV,xs_at_1_MeV,xs_at_10_MeV,xs_at_1000_MeV,xs_at_100000_MeV,xs_at_1e+07_MeV
Eu,900,21049,1e-05,200000000.0,1.829762,209643.6,897.3989150182906,56.73561,1.8361950993453122,1.7538557285952794,37.17694912962397,-0.5044025157947009,-0.5360747735143746,0.45760976695026107,209643.59999999998,20901.39000000001,719.4708000000003,529.3701000000001,15.250779999999997,17.05347,64.24368999999999,1036.5189999999998
Eu,901,21049,1e-05,200000000.0,1.8924,216827.1,1011.4385865868211,58.88331,1.880192766013926,1.7699922149559868,38.84424021125862,-0.5044025261444673,-0.5360782114731576,0.5352047993966919,216827.0999999998,21617.57999999999,744.1217000000004,547.5092000000002,15.773330000000003,17.583699999999997,139.18479999999994,2575.478999999999
Fe,900,131567,1e-05,200000000.0,0.01813438,1370.88,114.50843970699803,65.44186,1.8166397061247228,1.8158556344324703,12.841562322385691,-0.5000007334510196,-0.5032801162452215,0.6515237402440719,172.21850000000003,17.22189,1.722049,0.544328,0.1710758,3.661049,36.07625000000001,653.3731
Fe,901,131567,1e-05,200000000.0,0.02802438,3308.274,330.07307025933017,186.7119,2.2487395474161875,2.2711719983970577,16.136394384913174,-0.500000712038867,-0.5032460808162444,0.7590118503819038,269.12130000000013,26.912190000000002,2.691002,0.8506126,0.2673538,3.661529,92.09724,1726.9020000000003
Ga,900,33473,1e-05,200000000.0,0.04955499,2307.373,45.28892122569414,18.4469,1.244212882327505,1.2659233934754885,12.870902626336806,-0.49999628019953335,0.19583627207070287,0.595268570414032,74.65392000000001,7.465447,0.7468571,0.23714569999999996,0.0783315,3.4664949999999997,108.71359999999994,909.7071999999998
Ga,901,33473,1e-05,200000000.0,0.06380784,6925.689,97.37457342187643,35.19759,1.4692410606441249,1.5465129280936727,15.74386240022383,-0.49999634364669976,0.19203492364224367,0.7623714027518971,96.41741999999998,9.641815,0.9645773,0.3062532,0.1010818,3.4676779999999994,297.8083,2718.772000000001
Gd,900,126901,1e-05,200000000.0,0.08117177,404289.9,404.01367201775713,2.850073,0.5593015600655376,0.4548559839001448,33.38370829174824,-0.4866980707881305,-0.8514748022658088,0.47924291955951936,404289.90000000026,41030.92999999998,1972.7260000000008,6.215226,5.605810999999999,1.124095,50.57085,1150.2940000000008
Gd,901,126901,1e-05,200000000.0,0.08206879,409685.3,418.9623143321968,2.871823,0.5674415966925704,0.4581576693821956,34.61776605401956,-0.48669869998206616,-0.8516324526550825,0.5193187870386644,409685.3000000004,41578.48,1998.9330000000002,6.2998389999999995,5.694690999999999,1.132738,91.25428,2344.213
Ge,900,115659,1e-05,200000000.0,0.0041483,1901.602,57.7100179319462,35.37228,1.3442202839155208,1.5486630541462627,9.90313380384985,-0.499991912452409,-0.24735784056005813,0.982129080903233,46.483059999999995,4.648367,0.4647548,0.1462652,0.044783840000000005,0.940647,88.07984,805.4589000000002
Ge,901,115659,1e-05,200000000.0,0.004738366,4379.393,111.37369510903675,64.69526,1.5558521300541759,1.8108724625658559,11.78814900795688,-0.49997682743929545,-0.2455575960749507,1.1372631014920727,52.06175,5.206335000000001,0.5207623,0.1638855,0.050171129999999994,0.9412665,186.2163,1848.0269999999994
Hf,900,123992,1e-05,200000000.0,0.002747989,2310.062,4.954030244147792,0.20903565000000002,-0.5854806631884105,-0.6797796407952101,14.752925314404845,-0.49928830118076045,-0.6038483123249835,0.2029347583207929,209.764,20.992830000000005,2.286443,26.710779999999993,0.5081506,0.1330478,32.406589999999994,604.2753999999999
Hf,901,123992,1e-05,200000000.0,0.002747989,4018.244,7.1483780375692225,0.20925385000000002,-0.5823129785212392,-0.6793265428604945,15.591437812048756,-0.49928830118076045,-0.6038483124423407,0.23441594783108963,209.764,20.992830000000005,2.286443,26.710779999999993,0.5081506,0.1330478,48.36264,1043.8920000000005
Hg,900,80146,1e-05,200000000.0,0.02641688,5320.111,48.47085303151898,14.59594,1.1395184313696436,1.1642320694080075,22.36103259358695,-0.5007370675679131,-0.6178677836281292,0.7218833690340825,5320.111000000002,531.5402999999999,48.60572,7.962270000000001,0.3153934,0.1536749,66.20849,795.358
Hg,901,80146,1e-05,200000000.0,0.02879247,13803.22,108.29169472992064,21.884415,1.3354937402068408,1.3401349416190602,24.685322464986857,-0.5007317037819754,-0.6178821548038678,0.9179161111477561,5616.963999999999,561.2039000000001,51.32336000000001,8.402858000000002,0.3317426,0.16132309999999997,189.26619999999997,2807.029000000001
Ho,900,36605,1e-05,200000000.0,0.008381834,3063.124,31.882630443287418,3.102146,0.5301960975485029,0.49166223367817763,21.86494365888079,-0.5000427299098682,-0.15242755312440748,0.07930872748811728,1278.8310000000001,127.87709999999998,12.73684,4.228169,1.997335,0.01997581,46.441110000000016,863.0896
Ho,901,36605,1e-05,200000000.0,0.008416862,6582.472,39.93635062477033,3.115127,0.5345797456065493,0.4934757570224362,23.118805704758365,-0.5000427310366143,-0.1524275520596778,0.12856757675850625,1284.1850000000004,128.4125,12.790159999999998,4.245869999999999,2.005697,0.02005935,85.65288,1842.8169999999993
