element,log10_xs_mean,log10_xs_median,auc_log10xs_over_log10E,slope_low,slope_mid,slope_high,Z,atomic_mass,peak_xs_barn,energy_at_peak_eV,std_log10_xs,log10_energy_at_peak,peak_to_mean_ratio,peak_to_median_ratio,xs_dynamic_range_log10,peak_width_log10E_halfmax,energy_span_log10,curve_center_log10E,weighted_center_log10E
Pb,1.82277496506242,1.920709697602352,1.946357089706656,-0.5000002608332343,-0.5003159672915602,0.6527182646722336,82.0,207.2,3806.503,200000000.0,0.5220559665353478,8.301029995663981,37.54501172401408,45.689507721598744,6.7116507242416406,0.7099653886374817,13.301029995663981,5.25442145406621,5.775747936207045
Pd,0.3118785761011005,0.6187285162363269,10.03816510924145,-0.5000302694246616,-0.0193897081412245,0.9997955374243608,46.0,106.42,655.7841,200000000.0,0.7718610069127855,8.301029995663981,103.61584771295547,157.7728847804178,5.309361124717465,6.782845454853987,13.301029995663981,3.307553685283707,4.3726897775708355
Pr,0.5875714032094553,0.5948829267288656,11.019041130331455,-0.5000592211617811,-0.1530183378975904,0.8661057091328154,59.0,140.91,3759.67,200000000.0,0.7288005769079529,8.301029995663981,181.4955563591469,955.5794471386017,5.808225175023907,1.0705810742857071,13.301029995663981,3.503647353093423,5.2154054007446495
Pt,0.6068756504983871,1.0968050747836244,5.617810780562561,-0.499971824936488,-0.2676282354007021,1.307067954800619,78.0,195.08,692.7205,200000000.0,1.035092049702291,8.301029995663981,62.26749798132119,55.43103213736438,5.855172033195233,0.795880017344075,13.301029995663981,3.7956226621918976,4.217561690212343
Rb,1.3354350149722585,1.428116076828775,7.201150608346984,-0.4999989663508604,-0.4926187080252483,0.7698256385140518,37.0,85.468,2908.326,55000000.0,0.5852543294971254,7.740362689494244,66.61864777703374,108.52430393921827,5.734134318848733,1.1549453916055503,13.301029995663981,3.933985046057257,4.645971312363472
Re,-1.1871164853549483,-1.194583358279291,9.38600776318908,-0.4999938551959413,-0.2196762073713454,-0.2360770738846015,75.0,186.21,3633.642,200000000.0,0.7424906534865189,8.301029995663981,1165.6543782102906,56875.5350215793,6.864839183866796,0.8386319977650247,13.301029995663981,2.8080234378601117,6.74636867846385
Rh,0.025152373500392,0.3303387787945833,16.540932975088126,-0.4985911513748006,-0.9405747124392752,1.0281635640859703,45.0,102.91,1619.589,59000000.0,0.9454216438914004,7.770852011642144,151.67498046571674,756.9479870472962,6.086460264853109,13.301029995663981,13.301029995663981,3.0518159888259797,3.5910638649526834
Ru,0.4421439070964788,0.6180914193491128,9.312505958211332,-0.4947201647820578,0.0684338608625047,0.9488940643809304,44.0,101.07,1348.045,200000000.0,0.6971152890514735,8.301029995663981,143.6177858860486,324.7977189745409,4.35716830321585,1.1899254971305355,13.301029995663981,3.468271960133512,4.89574427429839
Sb,0.1223360737584877,0.3366784271033162,12.990087076056236,-0.4998439112217716,-0.3436588267258465,0.8757236282026618,51.0,121.76,3549.592,200000000.0,0.9796420349034703,8.301029995663981,87.19528546729218,1634.9331880301766,6.007959828246256,1.1863626435328394,13.301029995663981,2.858955438146523,6.491749140409852
Sc,1.766835709321245,1.875614028917436,20.699837957662965,-0.5000049005921126,-0.5252303980437721,0.7890830937110991,21.0,44.956,1800.457,28000000.0,0.6670789605506278,7.447158031342219,13.346830491203855,23.975558062584827,4.455210671941797,13.301029995663981,13.301029995663981,4.437248738470553,4.678379810079017
Se,1.4957245294161587,1.6344809984268238,17.11742175325461,-0.4997958829186585,-0.3575957190680784,0.7891775016010639,34.0,78.971,2274.692,53000000.0,0.7381798438525873,7.724275869600789,27.609922227417744,52.77662349534354,4.86658087397611,1.21226330852996,13.301029995663981,4.1497440026461,4.8401444522964105
Si,2.3497179359032923,2.606790956658988,8.113091150168266,-0.5000005255370643,-0.499965266072854,0.765129600880768,14.0,28.085,1785.979,1264400.0,0.7564283567740246,6.101884487167542,4.145087000108499,4.4165727783586375,5.403252722782337,1.9458390105243586,13.301029995663981,5.562289081360616,6.120102451797536
Sm,1.024717101943838,1.136864462799942,30.476232391703096,-0.4831480713146893,-0.416725600834076,0.6073721070124014,62.0,150.36,22184.27,1e-05,0.4997114861792013,-5.0,644.5185516114142,1618.7533474308511,4.2762327977624635,0.598653742636051,13.301029995663981,3.083090993162037,1.2588622662083702
Sn,1.566577157738511,1.7379345249829243,9.21745881961845,-0.5001370626554907,0.0571874546431151,0.9333851015190424,50.0,118.71,6749.89,200000000.0,0.9622630409287318,8.301029995663981,52.742362178576094,123.4133582967582,6.639255651468783,1.1322998115085454,13.301029995663981,4.497196064155233,5.575479444626048
Sr,1.782401290347566,1.7082446819109307,8.60664519888198,-0.4995838105788949,-0.6364716797607456,0.9173521532152192,38.0,87.62,2793.56,55000000.0,0.892219944114877,7.740362689494244,10.97165682228185,54.6906798002399,6.199403943687882,2.581052141166862,13.301029995663981,4.752163962377467,5.757526054592982
Ta,-0.7498509631480575,-0.755892175681793,8.74890242289621,-0.4998070685499775,-0.2610062385072235,-0.232811796969457,73.0,180.95,2000.076,200000000.0,0.880806499408252,8.301029995663981,538.1583278689783,11400.887867408153,6.193022650537204,0.8538719643217618,13.301029995663981,2.778636160434255,5.03551185588732
Tb,0.1284873127689406,0.0784560930201632,16.09710412746167,-0.4999087093380057,-0.1156092191414043,0.3760902468911092,65.0,158.93,3205.839,200000000.0,0.8441198028635509,8.301029995663981,179.06103875187114,2675.9969549197913,5.311206251282408,0.9586073148417746,13.301029995663981,2.5138318919444087,5.047800024472519
Te,0.9821488669727704,0.9591223735326724,12.803793225447876,-0.4994038880686583,-0.3906707355940839,0.8805731777624058,52.0,127.6,3669.197,200000000.0,0.6921551976274634,8.301029995663981,147.87429246487503,403.1332838260821,5.994174046676273,1.0705810742857071,13.301029995663981,4.050488926755782,4.9536898983468545
Ti,2.325202907735532,2.355712746211646,18.008941447093413,-0.5000017272398034,-0.5026357053718205,0.3906687810118928,22.0,47.867,3288.249,29999990.0,0.4751736364686814,7.477121109954811,10.007315333435491,14.49612584223696,4.847906423889102,3.175676597273161,13.301029995663981,5.035592101812749,5.376561493856424
Tl,1.425551276689978,1.5695017208799271,7.9893088139142305,-0.4999940091666679,-0.312379091634779,0.7629369487685652,81.0,204.38,3313.097,200000000.0,0.5490401600476724,8.301029995663981,77.28745214459825,89.27552860451857,5.991854354811123,0.795880017344075,13.301029995663981,4.486618586492747,5.021055327693743
Tm,0.4019312307665551,0.5937641924004501,16.371797768966708,-0.4996602172786115,-0.392951939578383,1.173809221666294,69.0,168.93,2962.801,200000000.0,0.856248190640589,8.301029995663981,241.1076179565791,754.9849426065879,5.827271476079869,7.714215252255979,13.301029995663981,3.174876008054774,3.9406856521028955
Unknown,0.4736264690877752,0.8205470492644081,2.7862907340703966,-0.6520463722968906,-0.0866596734701115,1.1894448002229971,,,2855754.0,1.281222e-05,1.8036986935894963,-4.892375612627189,5650.7682872661135,431691.74554235337,10.74097856636228,0.4422214958364252,13.301029995663981,4.052099733868547,-2.551098914614441
Xe,0.3940584497877683,0.7580951961088769,14.99880142400676,-0.4999653827793086,-0.4286013074058958,1.0381078617436506,54.0,131.29,2126.964,200000000.0,0.9625462396357718,8.301029995663981,145.5317611637239,371.2487013930004,5.780456400429686,1.1013022368569247,13.301029995663981,3.453913048714224,4.958230065632868
Yb,0.5685286426613055,0.857820381345904,16.288618504944036,-0.4998725534104091,-0.2656295837103395,1.1137280683371158,70.0,173.05,3407.925,200000000.0,0.9760047677995698,8.301029995663981,183.52008405834098,472.7914859034144,5.453070709529629,0.8696662315049943,13.301029995663981,3.337039774523112,4.401328541261395
Zn,1.8853259900022843,1.956156852337608,9.198549798261228,-0.4997435998164359,-0.4890934278888356,0.8190529818820298,30.0,65.38,1870.111,47000000.0,0.5365737037296746,7.672097857935717,14.059484459127086,20.6876201013766,5.143307870253724,1.279352906359489,13.301029995663981,5.025633449004594,5.370486595538913
Zr,1.289865445911058,1.4689468034512942,0.980757236653158,-0.5000025661450854,-0.5095470536725977,1.1678223669172634,40.0,91.224,3219.789,60000000.0,0.8841827589509897,7.778151250383644,64.5325609095261,109.36556681400285,7.000378916438693,1.1405854759609895,13.301029995663981,4.135966511229487,4.8005747957715315
